Question,gt_sparql,generated_sparql,BLEU,Jaccard,BERTScore
Which publications did Christian L. M\u00FCller write?,SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/33/7873> },SELECT DISTINCT?answer WHERE {?answer <https://dblp.org/rdf/schema#authoredBy>?pid. FILTER(?pid = <https://dblp.org/pid/33/7873>) },1.384292958842266e-231,0.9183673469387755,"(0.977851927280426, 0.9543243646621704, 0.9659448266029358)"
Which publications did Dimitri K. author?,SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/172/1162> },SELECT DISTINCT?answer WHERE {?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/172/1162> },4.2874310268234296e-78,1.0,"(0.9927284717559814, 0.9927284717559814, 0.9927284717559814)"
Which publications did H. Hai Pham write?,SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/230/3185> },SELECT DISTINCT?answer WHERE {?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/230/3185> },4.2874310268234296e-78,1.0,"(0.9927932024002075, 0.9927931427955627, 0.9927931427955627)"
Which papers did the author Stefan Schreiber write?,SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/00/2941> },SELECT DISTINCT?paper WHERE {?paper <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/00/2941> },4.2874310268234296e-78,0.9574468085106383,"(0.9856996536254883, 0.9856996536254883, 0.9856996536254883)"
"Mention the ORCID of the researcher El-Gayar, Omar F..",SELECT DISTINCT ?answer WHERE { <https://dblp.org/pid/16/304> <https://dblp.org/rdf/schema#orcid> ?answer },SELECT DISTINCT?orcid WHERE {?x <https://dblp.org/rdf/schema#author> <https://dblp.org/pid/16/304>.?x <https://dblp.org/rdf/schema#author>?orcid FILTER(?orcid!= <https://dblp.org/pid/16/304>) },1.3483065280626046e-231,0.8235294117647058,"(0.9350971579551697, 0.9074113368988037, 0.9210461974143982)"
Mention the ORCID of the researcher Joaquin Vanschoren.,SELECT DISTINCT ?answer WHERE { <https://dblp.org/pid/85/5045> <https://dblp.org/rdf/schema#orcid> ?answer },SELECT?orcid WHERE { <https://dblp.org/pid/85/5045> <https://dblp.org/rdf/schema#orcid>?orcid },3.764142464340334e-78,0.8837209302325582,"(0.9545274972915649, 0.9679068922996521, 0.9611706733703613)"
What is the ORCID of the person P. J. Bentley?,SELECT DISTINCT ?answer WHERE { <https://dblp.org/pid/35/6713> <https://dblp.org/rdf/schema#orcid> ?answer },SELECT DISTINCT?orcid WHERE {?person <https://dblp.org/rdf/schema#pid> '<https://dblp.org/pid/35/6713>' ; <https://orcid.org/ont.owl#hasORCID>?orcid. },1.384292958842266e-231,0.9361702127659575,"(0.944354236125946, 0.9189419746398926, 0.9314747452735901)"
What is the ORCID of the person Goele Pipeleers?,SELECT DISTINCT ?answer WHERE { <https://dblp.org/pid/98/4973> <https://dblp.org/rdf/schema#orcid> ?answer },SELECT?orcid WHERE {?person <https://dblp.org/rdf/schema#orcid>?orcid.?person <https://dblp.org/rdf/schema#sameAs> <https://dblp.org/pid/98/4973> },1.1077199809555581e-231,0.8888888888888888,"(0.9260439276695251, 0.9249593019485474, 0.9255013465881348)"
The author Daniel S. Weld is associated with which Wikidata identifier?,SELECT DISTINCT ?answer WHERE { <https://dblp.org/pid/w/DanielSWeld> <https://dblp.org/rdf/schema#wikidata> ?answer },SELECT DISTINCT?answer WHERE { <https://dblp.org/pid/w/DanielSWeld> <https://dblp.org/rdf/schema#wikidata>?answer },4.2874310268234296e-78,1.0,"(0.9939647316932678, 0.9939647316932678, 0.9939647316932678)"
What are the papers written by the person Christian A. Larsson?,SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/11/9186> },"SELECT DISTINCT?paper WHERE {?paper <https://dblp.org/rdf/schema#authoredBy>?author.?author <https://dblp.org/rdf/foaf#name> ""Christian A. Larsson"". }",1.3483065280626046e-231,0.8541666666666666,"(0.9261404871940613, 0.9170308709144592, 0.9215632081031799)"
"What is the ORCID of the person Hirschfeld, James W. P.?",SELECT DISTINCT ?answer WHERE { <https://dblp.org/pid/h/JWPHirschfeld> <https://dblp.org/rdf/schema#orcid> ?answer },SELECT DISTINCT?orcid WHERE { <https://dblp.org/pid/h/JWPHirschfeld> <https://dblp.org/rdf/schema#orcid>?orcid },4.2874310268234296e-78,0.9512195121951219,"(0.9805266857147217, 0.9763984680175781, 0.9784582257270813)"
"What are the papers written by Brereton, Margot?",SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/93/5922> },SELECT DISTINCT?paper WHERE {?paper <https://dblp.org/rdf/schema#authoredBy>?author. FILTER(?author = <https://dblp.org/pid/93/5922>) },1.384292958842266e-231,0.88,"(0.9702035188674927, 0.9481390714645386, 0.9590443968772888)"
What are the papers written by the person Jo\u00E3o Manuel R. S. Tavares?,SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/t/JoaoManuelRSTavares> },"SELECT DISTINCT?paper WHERE {
 ?paper <https://dblp.org/rdf/schema#authoredBy>?author.
 ?author <https://dblp.org/rdf/schema#sameAs> <https://dblp.org/pid/t/JoaoManuelRSTavares>.
}",6.8489908526642754e-155,0.9361702127659575,"(0.953774094581604, 0.93434739112854, 0.9439607858657837)"
"What is the Wikidata ID of Kreinovich, V.?",SELECT DISTINCT ?answer WHERE { <https://dblp.org/pid/k/VladikKreinovich> <https://dblp.org/rdf/schema#wikidata> ?answer },SELECT DISTINCT?answer WHERE { <https://dblp.org/pid/k/VladikKreinovich> <https://dblp.org/rdf/schema#wikidata>?answer },4.2874310268234296e-78,1.0,"(0.9939515590667725, 0.9939515590667725, 0.9939515590667725)"
Which publications did Jean-Didier M. write?,SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/26/1550> },SELECT DISTINCT?answer WHERE {?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/26/1550> },4.2874310268234296e-78,1.0,"(0.9926221370697021, 0.9926221370697021, 0.9926221370697021)"
"Mention the ORCID of the researcher Turcanu, Ion.",SELECT DISTINCT ?answer WHERE { <https://dblp.org/pid/170/2615> <https://dblp.org/rdf/schema#orcid> ?answer },"PREFIX dblp: <https://dblp.org/rdf/schema#> 
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> 
SELECT?orcid 
WHERE { 
 ?x dblp:author?answer. 
 ?answer dblp:author?author. 
 ?author rdfs:label?name. 
  FILTER(?name = ""Turcanu, Ion"" && EXISTS {?answer dblp:orcid?orcid}) 
}",4.3521358589488775e-155,0.6779661016949152,"(0.8762159943580627, 0.8296220302581787, 0.852282702922821)"
Which publications did N. D\u00F6llinger write?,SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/222/9250> },SELECT DISTINCT?answer WHERE {?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/222/9250> },4.2874310268234296e-78,1.0,"(0.992713451385498, 0.992713451385498, 0.992713451385498)"
What is the Wikidata identifier of the author Borko Furht?,SELECT DISTINCT ?answer WHERE { <https://dblp.org/pid/f/BorkoFurht> <https://dblp.org/rdf/schema#wikidata> ?answer },SELECT DISTINCT?answer WHERE { <https://dblp.org/pid/f/BorkoFurht> <https://dblp.org/rdf/schema#wikidata>?answer },4.2874310268234296e-78,1.0,"(0.994113028049469, 0.994113028049469, 0.994113028049469)"
Which publications did Ellen Riloff write?,SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/r/ERiloff> },SELECT DISTINCT?answer WHERE {?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/r/ERiloff> },4.2874310268234296e-78,1.0,"(0.9927167296409607, 0.9927167296409607, 0.9927167296409607)"
"Which publications did Matsuura, Hiroshi write?",SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/58/2802> },SELECT DISTINCT?answer WHERE {?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/58/2802> },4.2874310268234296e-78,1.0,"(0.9927358627319336, 0.9927358627319336, 0.9927358627319336)"
"Which publications did Liu, X. write?",SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/21/4323> },SELECT DISTINCT?answer WHERE {?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/21/4323> },4.2874310268234296e-78,1.0,"(0.9926143884658813, 0.9926143884658813, 0.9926143884658813)"
"Which publications did Hollingshead, A. write?",SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/236/6551> },SELECT DISTINCT?answer WHERE {?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/236/6551> },4.2874310268234296e-78,1.0,"(0.9929556846618652, 0.9929556846618652, 0.9929556846618652)"
"What is the webpage of the author Wang, Chao?",SELECT DISTINCT ?answer WHERE { <https://dblp.org/pid/w/ChaoWang> <https://dblp.org/rdf/schema#webpage> ?answer },SELECT DISTINCT?answer WHERE { <https://dblp.org/pid/w/ChaoWang> <https://dblp.org/rdf/schema#webpage>?answer },4.2874310268234296e-78,1.0,"(0.9930787086486816, 0.9930787086486816, 0.9930787086486816)"
Mention the primary affiliation of Khaled Salah.,SELECT DISTINCT ?answer WHERE { <https://dblp.org/pid/s/KhaledSalah> <https://dblp.org/rdf/schema#primaryAffiliation> ?answer },SELECT DISTINCT?answer WHERE { <https://dblp.org/pid/s/KhaledSalah> <https://dblp.org/rdf/schema#primaryAffiliation>?answer },4.2874310268234296e-78,1.0,"(0.994170069694519, 0.994170069694519, 0.994170069694519)"
What are the papers written by Dinesh M.?,SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/m/DineshManocha> },SELECT DISTINCT?answer WHERE {?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/m/DineshManocha> },4.2874310268234296e-78,1.0,"(0.9929721355438232, 0.9929721355438232, 0.9929721355438232)"
Which publications did Gerhard S. author?,SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/86/716> },SELECT DISTINCT?answer WHERE {?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/86/716> },4.2874310268234296e-78,1.0,"(0.9926744699478149, 0.9926744699478149, 0.9926744699478149)"
"Which publications did W\u00E1ng, Y. N. write?",SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/87/10270> },SELECT?answer WHERE {?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/87/10270> },3.764142464340334e-78,0.9361702127659575,"(0.9647853970527649, 0.9835572838783264, 0.9740808606147766)"
"Which papers did the author Silva-Faundez, Joaquin Alder write?",SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/63/10539> },SELECT DISTINCT?answer WHERE {?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/63/10539> },4.2874310268234296e-78,1.0,"(0.9928461909294128, 0.9928461909294128, 0.9928461909294128)"
"What are the publications written by the author How, J. P.?",SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/43/1256> },SELECT DISTINCT?paper WHERE {?paper <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/166/4711> },1.1903225844148727e-231,0.8775510204081632,"(0.9782979488372803, 0.9781354665756226, 0.9782167077064514)"
What are the papers written by the person X. He?,SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/206/0860> },SELECT DISTINCT?paper WHERE {?paper <https://dblp.org/rdf/schema#authoredBy>?author. FILTER(?author = <https://dblp.org/pid/206/0860>) },1.384292958842266e-231,0.88,"(0.9701281189918518, 0.9479671120643616, 0.9589195847511292)"
Which publications did M. Sloan write?,SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/86/11204> },SELECT DISTINCT?answer WHERE {?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/86/11204> },4.2874310268234296e-78,1.0,"(0.9927983283996582, 0.9927983283996582, 0.9927983283996582)"
"Mention the ORCID of the researcher Torgo, L..",SELECT DISTINCT ?answer WHERE { <https://dblp.org/pid/60/1153> <https://dblp.org/rdf/schema#orcid> ?answer },SELECT DISTINCT?answer WHERE {?x <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/60/1153>.?x <https://dblp.org/rdf/schema#authoredBy>?answer FILTER(?answer!= <https://dblp.org/pid/60/1153>) },1.3483065280626046e-231,0.8301886792452831,"(0.9334896206855774, 0.9056341648101807, 0.9193509817123413)"
What is the webpage of the author Christian Wagner?,SELECT DISTINCT ?answer WHERE { <https://dblp.org/pid/01/2903-1> <https://dblp.org/rdf/schema#webpage> ?answer },SELECT DISTINCT?answer WHERE { <https://dblp.org/pid/01/2903-1> <https://dblp.org/rdf/schema#webpage>?answer },4.2874310268234296e-78,1.0,"(0.9930697679519653, 0.9930697679519653, 0.9930697679519653)"
"What is the Wikidata ID of Offutt, A. Jefferson?",SELECT DISTINCT ?answer WHERE { <https://dblp.org/pid/o/AJeffersonOffutt> <https://dblp.org/rdf/schema#wikidata> ?answer },SELECT DISTINCT?answer WHERE { <https://dblp.org/pid/o/AJeffersonOffutt> <https://dblp.org/rdf/schema#wikidata>?answer },4.2874310268234296e-78,1.0,"(0.9936656951904297, 0.9936656951904297, 0.9936656951904297)"
Which publications did Andrey Naumenko author?,SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/n/AndreyNaumenko> },SELECT DISTINCT?answer WHERE {?answer <https://dblp.org/rdf/schema#authoredBy>?pid.?pid <https://dblp.org/rdf/ontology/dblp#Person> <https://dblp.org/pid/n/AndreyNaumenko> },6.805395922591311e-155,0.9777777777777777,"(0.9698261022567749, 0.9455783367156982, 0.9575487375259399)"
What is the primary affiliation of the author Shengli W.?,SELECT DISTINCT ?answer WHERE { <https://dblp.org/pid/w/ShengliWu> <https://dblp.org/rdf/schema#primaryAffiliation> ?answer },SELECT DISTINCT?answer WHERE { <https://dblp.org/pid/w/ShengliWu> <https://dblp.org/rdf/schema#primaryAffiliation>?answer },4.2874310268234296e-78,1.0,"(0.9936135411262512, 0.9936135411262512, 0.9936135411262512)"
What is the ORCID of Bo L.?,SELECT DISTINCT ?answer WHERE { <https://dblp.org/pid/50/3402-1> <https://dblp.org/rdf/schema#orcid> ?answer },SELECT DISTINCT?answer WHERE {?answer <https://dblp.org/rdf/schema#author> <https://dblp.org/pid/50/3402-1> },1.1903225844148727e-231,0.9787234042553191,"(0.9615986943244934, 0.9653289914131165, 0.9634602069854736)"
What are the publications written by the author Felix Martinez-Rios?,SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/46/6830> },"SELECT DISTINCT?answer WHERE {?answer <https://dblp.org/rdf/schema#authoredBy>?author.?author <https://dblp.org/rdf/foaf#name> ""Felix Martinez-Rios"". }",1.384292958842266e-231,0.7924528301886793,"(0.9349362850189209, 0.9206584095954895, 0.9277424216270447)"
"What is the webpage of Rodriguez, J.?",SELECT DISTINCT ?answer WHERE { <https://dblp.org/pid/04/1616> <https://dblp.org/rdf/schema#webpage> ?answer },SELECT DISTINCT?answer WHERE { <https://dblp.org/pid/04/1616> <https://dblp.org/rdf/schema#webpage>?answer },4.2874310268234296e-78,1.0,"(0.9931762218475342, 0.9931762218475342, 0.9931762218475342)"
What are the papers written by the person Kenneth Chang?,SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/208/1911> },SELECT DISTINCT?answer WHERE {?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/208/1911> },4.2874310268234296e-78,1.0,"(0.9926550388336182, 0.9926550388336182, 0.9926550388336182)"
What are the publications written by the author Sunyoung H.?,SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/05/58> },"SELECT DISTINCT?answer WHERE {?answer <https://dblp.org/rdf/schema#authoredBy>?pid. FILTER regex(str(?pid), ""05/58"") }",1.384292958842266e-231,0.8823529411764706,"(0.9549811482429504, 0.9207562804222107, 0.9375564455986023)"
"Which publications did Garfield, Monica J. author?",SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/81/5552> },SELECT DISTINCT?answer WHERE {?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/81/5552> },4.2874310268234296e-78,1.0,"(0.9926666021347046, 0.9926666021347046, 0.9926666021347046)"
"Which papers did the author Liu, Z. write?",SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/70/1220-1> },SELECT DISTINCT?answer WHERE {?answer <https://dblp.org/rdf/schema#authoredBy>?author.?author <https://dblp.org/rdf/schema#authorID> '<https://dblp.org/pid/70/1220-1>'. },1.258141043412406e-231,0.9791666666666666,"(0.9611135721206665, 0.9386008977890015, 0.9497238397598267)"
Which papers did the author Salwa K. Abd-El-Hafiz write?,SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/07/5830> },SELECT DISTINCT?answer WHERE {?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/07/5830> },4.2874310268234296e-78,1.0,"(0.9926636219024658, 0.9926636219024658, 0.9926636219024658)"
"Which publications did Apt, Krzysztof R. write?",SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/a/KRApt> },SELECT DISTINCT?answer WHERE {?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/a/KRApt> },4.2874310268234296e-78,1.0,"(0.9927547574043274, 0.9927547574043274, 0.9927547574043274)"
What are the papers written by Lih-Wee Chew?,SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/39/6118> },SELECT DISTINCT?answer WHERE {?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/39/6118> },4.2874310268234296e-78,1.0,"(0.992802619934082, 0.992802619934082, 0.992802619934082)"
What is the webpage of the person Oliver G\u00FCnther?,SELECT DISTINCT ?answer WHERE { <https://dblp.org/pid/g/OliverGunther> <https://dblp.org/rdf/schema#webpage> ?answer },SELECT DISTINCT?answer WHERE { <https://dblp.org/pid/g/OliverGunther> <https://dblp.org/rdf/schema#webpage>?answer },4.2874310268234296e-78,1.0,"(0.9932931065559387, 0.9932931065559387, 0.9932931065559387)"
What are the papers written by the person Michel Defrise?,SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/41/1765> },SELECT DISTINCT?paper WHERE {?paper <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/41/1765> },4.2874310268234296e-78,0.9574468085106383,"(0.9852687120437622, 0.9852687120437622, 0.9852687120437622)"
What are the publications written by the author D. H\u00FCnerbein?,SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/83/10> },"SELECT DISTINCT?paper WHERE {?paper <https://dblp.org/rdf/schema#authoredBy>?author.?author <https://dblp.org/rdf/schema#name> ""D. Hünerbein"" }",1.384292958842266e-231,0.8541666666666666,"(0.9265745282173157, 0.9099372625350952, 0.918180525302887)"
What are the papers written by Judith M. LaLonde?,SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/140/9134> },SELECT DISTINCT?answer WHERE {?answer <https://dblp.org/rdf/schema#authoredBy>?id. FILTER(?id = <https://dblp.org/pid/140/9134>) },1.384292958842266e-231,0.9215686274509803,"(0.980059027671814, 0.9542500972747803, 0.966982364654541)"
Which publications did Feng Liu write?,SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/77/1318-35> },SELECT DISTINCT?answer WHERE {?answer <https://dblp.org/rdf/schema#authoredBy>?pid. FILTER (?pid = <https://dblp.org/pid/77/1318-35> ) },1.4147351699132998e-231,0.9230769230769231,"(0.9774364233016968, 0.9521535038948059, 0.9646292924880981)"
J\u00E1nos Pach is primarily affiliated to which institution?,SELECT DISTINCT ?answer WHERE { <https://dblp.org/pid/18/2119> <https://dblp.org/rdf/schema#primaryAffiliation> ?answer },SELECT DISTINCT?answer WHERE { <https://dblp.org/pid/18/2119> <https://dblp.org/rdf/schema#primaryAffiliation>?answer },4.2874310268234296e-78,1.0,"(0.9933606386184692, 0.9933606386184692, 0.9933606386184692)"
"Which papers did the author Kamsu-Foguem, B. write?",SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/121/5532> },SELECT DISTINCT?answer WHERE {?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/121/5532> },4.2874310268234296e-78,1.0,"(0.9925352334976196, 0.9925352334976196, 0.9925352334976196)"
What is the ORCID of Sudhakar M. Reddy?,SELECT DISTINCT ?answer WHERE { <https://dblp.org/pid/r/SudhakarMReddy> <https://dblp.org/rdf/schema#orcid> ?answer },SELECT?orcid WHERE {?pid <https://dblp.org/rdf/schema#orcid>?orcid.?pid <https://dblp.org/rdf/schema#samePersonAs> <https://dblp.org/pid/r/SudhakarMReddy> },1.1077199809555581e-231,0.8666666666666667,"(0.9271588325500488, 0.9219371676445007, 0.9245405793190002)"
