title,question,response,ground_truth
SemEval 2017 Task 10: ScienceIE - Extracting Keyphrases and Relations from Scientific Publications,What are the three subtasks defined in SemEval 2017 Task 10?,"Subtask A (keyphrase identification), Subtask B, and Subtask C.","The three subtasks are: (1) Subtask A: Mention-level keyphrase identification, (2) Subtask B: Mention-level keyphrase classification, and (3) Subtask C: Mention-level semantic relation extraction between keyphrases with the same keyphrase types."
SemEval 2017 Task 10: ScienceIE - Extracting Keyphrases and Relations from Scientific Publications,What is the SemEval 2010 pilot task?,ScienceIE - Extracting Keyphrases and Relations from Scientific Publications,. The pilot task involves extracting a list of keyphrases representing key topics from scientific documents.
SemEval 2017 Task 10: ScienceIE - Extracting Keyphrases and Relations from Scientific Publications,What is the evaluation metric used for keyphrase identification?,Exact matches with the gold standard., Keyphrase identification Subtask has traditionally been evaluated by calculating the exact matches with the gold standard.
SemEval 2017 Task 10: ScienceIE - Extracting Keyphrases and Relations from Scientific Publications,What kind of corpus was built for the task?,TriviaQA-Wiki,"A corpus for the task was built from ScienceDirect open access publications and was available freely for participants, without the need to sign a copyright agreement."
Overview of BioCreAtIvE task 1B: normalized gene lists,What is the goal of the BioCreAtIvE task 1B?,The goal of the BioCreAtIvE task 1B is to evaluate the performance of systems in identifying genes mentioned in a given article.,The goal of BioCreAtIvE task 1B is the 'Normalized Gene List' task which aim to produce the correct list of unique gene identifiers for the genes and gene products mentioned in sets of abstracts from three model organisms.
Overview of BioCreAtIvE task 1B: normalized gene lists,What are the key steps involved in task 1B for generating normalized gene lists?,Not explicitly stated.,"The key steps include identifying gene mentions in the abstract, linking them to unique gene identifiers, resolving ambiguity among potential matches and compiling a final list of gene identifiers for each document."
Overview of BioCreAtIvE task 1B: normalized gene lists,What defines the Gold Standard used in evaluation?,Human-annotated data.,"The Gold Standard consisted of verifing gene lists associated with each abstract, based on gene mentions actually found in the abstract."
Overview of BioCreAtIvE task 1B: normalized gene lists,What does task 1B reflect in the biological curation process?,"A step in the curation process for the model organism databases, where an important step is to list those genes discussed in the article that have sufficient experimental evidence to merit curation.",Task 1B reflects a step in the curation process where curators list genes discussed in an article that have sufficient experimental evidence to merit curation.
Overview of BioCreAtIvE task 1B: normalized gene lists,What are the requirements for task 1B?,Normalized gene lists.,"The four requirements in Task 1B are identifying gene mentions, associating them to one or more unique gene identifiers, selecting the correct gene identifier in cases of ambiguity, and assembling the final gene list for each abstract."
Overview of BioCreAtIvE task 1B: normalized gene lists,How did annotators create the test set gene lists?,Annotators compared annotated text segments.,"Annotators added all genes mentioned in the abstract by hand, regardless of whether they met the curation criteria."
Coreference annotation and resolution in the Colorado Richly Annotated Full Text (CRAFT) corpus of biomedical journal articles,What does the term 'coreference' include in this paper?,"A broad range of phenomena, including identity, pronominal anaphora, and apposition.","the term coreference to refer to a broad range of phenomena, including identity, pronominal anaphora, and apposition."
Coreference annotation and resolution in the Colorado Richly Annotated Full Text (CRAFT) corpus of biomedical journal articles,What are the coreference relations annotated in the CRAFT corpus?,coreferential and appositive relations,The two relations that are annotated in the corpus are the IDENTITY relation and the APPOSITIVE relation.
Coreference annotation and resolution in the Colorado Richly Annotated Full Text (CRAFT) corpus of biomedical journal articles,What is the IDENTITY relation?,The IDENTITY relation holds when two units of annotation refer to the same thing in the world.,The identity relation holds when two units of annotation refer to the same thing in the world.
Coreference annotation and resolution in the Colorado Richly Annotated Full Text (CRAFT) corpus of biomedical journal articles,What is the APPOSITIVE relation?,"The APPOSITIVE relation holds when two noun phrases are adjacent and not linked by a copula (typically the verb ""be"") or some other linking word.",The appositive annotation holds when two noun phrases are adjacent and not linked by a copula or some other linking word.
Coreference annotation and resolution in the Colorado Richly Annotated Full Text (CRAFT) corpus of biomedical journal articles,What are the key challenges identified in applying coreference resolution systems to the CRAFT biomedical corpus?,Coreference resolution approaches from other domains do not necessarily transfer well to the biomedical domain.,"Challenges include the difficulty of automated coreference resolution in biomedical journal articles than in newswire text, systems tuned for newswire text need significant alteration to perform well, and the much greater length of the documents leads to much longer coreference chains."
Named Entity Recognition for Bacterial Type IV Secretion Systems,What does the NER system focus on in relation to Type IV secretion systems?,Identifying concepts related to T4SS at the top levels of the GO ontology.," NER system focuses on four entities related to Type IV secretion systems: 1) bacteria names, 2) biological processes, 3) molecular functions, and 4) cellular components."
Named Entity Recognition for Bacterial Type IV Secretion Systems,What is the main function of T4SSs?,"T4SSs function predominantly in conjugation, naked DNA uptake and release, and the propagation of genomic islands.","T4SSs function predominantly in conjugation, naked DNA uptake and release, and the propagation of genomic islands"
Named Entity Recognition for Bacterial Type IV Secretion Systems,What are T4SSs?,Type IV Secretion Systems,"T4SSs are the only group of translocation machines that span the broad distribution of Prokaryota, being encoded within many genomes of both Gram negative and Gram positive species, as well as within some wall-less bacteria and Archaea."
Named Entity Recognition for Bacterial Type IV Secretion Systems,What is the output of the NER task? ,"tA = O, B, I for tokens being outside, at the beginning, or inside a keyphrase","The output of the NER task is a tagged span of text identifying bacteria name or a concept that is a member of the set of concepts constituting the intersection of T4SS concepts and one of biological process, cellular component, or molecular function."
Named Entity Recognition for Bacterial Type IV Secretion Systems,Which recognition techniques were evaluated in the study?,"Entity recognition, relation extraction, and coreference resolution.","Three recognition techniques were evaluated:a pure dictionary approach, a dictionary plus corpus enrichment, and a machine learning approach."
Bacteria Biotope at BioNLP Open Shared Tasks 2019,What is the Bacteria Biotope task?,"The Bacteria Biotope task is an annotation task that involves identifying and extracting information about microbial biodiversity in food, specifically focusing on bacteria biotopes.","The task focuses on the extraction of the locations and phenotypes of microorganisms from PubMed abstracts and fulltext excerpts, and the characterization of these entities with respect to reference knowledge sources."
Bacteria Biotope at BioNLP Open Shared Tasks 2019,What are the four entity types defined in the Bacteria Biotope task?,Microorganism,"The four entity types are:

- Microorganism
- Habitat
- Geographical
- Phenotype"
Bacteria Biotope at BioNLP Open Shared Tasks 2019,What are the two relation types defined in the task?,"synonym, hypernym","The two relation types are:

- Lives in: Links a microorganism entity to its location (either a habitat or a geographical entity, or in few rare cases a microorganism entity).
- Exhibits: Links a microorganism entity to a phenotype entity."
Bacteria Biotope at BioNLP Open Shared Tasks 2019,What are phenotypes in the context of the BB task?,"Observable characteristics such as morphology, environment requirement (e.g. acidity, oxygen), host interaction characteristics (e.g. symbiont), and community behavior and growth habit (e.g. epilithic).","Phenotypes are observable characteristics such as morphology, or environment requirement."
Bacteria Biotope at BioNLP Open Shared Tasks 2019,What is an Exhibits relation?,"An Exhibits relation refers to a situation where one entity exhibits some property or behavior, such as ""The patient exhibited symptoms of the disease.""",Exhibits relations which link a microorganism entity to a phenotype entity.
RDoC Task at BioNLP-OST 2019,What is the purpose of the RDoC initiative?,Not explicitly stated in this snippet.,The RDoC initiative intends ‘to foster integration not only of psychological and biological measures but also of the psychological and biological constructs those measures measure.
RDoC Task at BioNLP-OST 2019,What are the two subtasks of the RDoC Task introduced at BioNLP-OST 2019?,Information retrieval and sentence extraction through National Institutes of Mental Health's Research Domain Criteria framework.,"The RDoC Task consists of two subtasks: (1) RDoC-IR, which involves retrieving PubMed Abstracts related to RDoC constructs, and (2) RDoC-SE, which focuses on extracting the most relevant sentence for a given RDoC construct from a known relevant abstract."
RDoC Task at BioNLP-OST 2019,What includes the RDoC construct-level annotations?,"environmental, social, and biological factors influencing relational and physical aggression.",the RDoC construct-level annotations includes a) whether a given abstract is relevant to a given construct and b) which sentence in the abstract is the most relevant for the construct.
RDoC Task at BioNLP-OST 2019,What is the structure of the RDoC corpus?,The text does not provide information about the structure of the RDoC corpus.,"Each instance in the corpus is made up of an abstract and a construct, and it is labeled with: 1) binary label for relevance, 2) index of most relevant sentence , and 3) metadata."
RDoC Task at BioNLP-OST 2019,What is the RDoC framework?,"RDoC stands for Research Domain Criteria. It is a framework used to analyze and annotate scientific papers, particularly in the field of psychology and neuroscience. The framework consists of various constructs that are used to categorize and understand the content of research papers. However, the provided context does not give a detailed explanation of what RDoC is or how it works, but rather discusses the challenges faced by annotators while using this framework.","RDoC framework is made up six major domains of human functioning, which is further broken down to multiple constructs that comprise different aspects of the overall range of functions."
Overview of the Regulatory Network of Plant Seed Development (SeeDev) Task at the BioNLP Shared Task 2016.,What is the purpose of the SeeDev Task introduced in the BioNLP Shared Task 2016?,"To evaluate the reusability of methods, characterize the peculiarities of information extraction for the plant biology domain, and develop dedicated approaches.","The purpose of the SeeDev Task is the extraction from scientific articles of the descriptions of genetic and molecular mechanisms involved in seed development of the model plant, Arabidopsis thaliana."
Overview of the Regulatory Network of Plant Seed Development (SeeDev) Task at the BioNLP Shared Task 2016.,What is the Gene Regulatory Network for Arabidopsis (GRNA) model?,"A knowledge model that meets the constraints of manual annotation of texts and automatic annotation by IE methods, designed for the representation of events in the SeeDev task.",The GRNA model is a knowledge representation framework used in the SeeDev Task. It defines 16 entity types and 21 event types.
Overview of the Regulatory Network of Plant Seed Development (SeeDev) Task at the BioNLP Shared Task 2016.,What are the two subtasks of the SeeDev Task?,SeeDev-binary and SeeDev-full.,The two subtasks are SeeDev-binary and SeeDev-full.
Overview of the Regulatory Network of Plant Seed Development (SeeDev) Task at the BioNLP Shared Task 2016.,What are SeeDev's characteristics?,"SeeDev has 22 different types of binary relations without modality (no negation), n-ary events with 2-8 arguments and a negation modality, and an average of three arguments per event.","The SeeDev corpus consists of 86 paragraphs from 20 full-text articles selected by plant biology experts. It includes 44,857 words, 7,082 entities, 2,583 events, and 3,575 relations."
Overview of the Regulatory Network of Plant Seed Development (SeeDev) Task at the BioNLP Shared Task 2016.,What is the goal of SeeDev-binary?,The goal of SeeDev-binary is the extraction of binary relations of 22 different types without modality (no negation).,The goal of SeeDev-binary is the extraction of binary relations of 22 different types without modality .
Overview of the Bacteria Biotope Task at BioNLP Shared Task 2016,What is the objective of the Bacteria Biotope (BB) task?,"The objective of the Bacteria Biotope (BB) task is to extract bacteria and their locations from the text, categorize them according to dedicated knowledge sources, and link bacteria to their locations through ""Lives in"" events.",The Bacteria Biotope (BB) task aim to contribute to progress by drawing general lessons from the individual contributions and assessment of the participants..
Overview of the Bacteria Biotope Task at BioNLP Shared Task 2016,What are the three types of entities involved in the BB task?,"Bacteria, Habitats, and Geographical places.","The BB task involves three types of entities, Bacteria, Habitats and Geographical places."
Overview of the Bacteria Biotope Task at BioNLP Shared Task 2016,What is the goal of the knowledge base extraction subtask?,Extracting semantic relations between entities in scientific papers.,The goal is to build a knowledge base composed of all distinct pairs of Bacteria and Habitat categories linked through the Lives in relation that can be extracted from the corpus.
Overview of the Bacteria Biotope Task at BioNLP Shared Task 2016,What does the BB corpus consist of?,"Training, development, and test sets.",The BB corpus consists of titles and abstracts of PubMed entries. 
Overview of the Bacteria Biotope Task at BioNLP Shared Task 2016,How was the representativeness of corpus samples evaluated?,F1 score,The representativeness was evaluated by the mean squared error (MSE) between the sample and the original collection. 
"CRAFT Shared Tasks 2019 Overview – Integrated Structure, Semantics, and Coreference",What are the three key biomedical NLP tasks addressed in the 2019 BioNLP Open Shared Tasks focusing on the CRAFT corpus?,"Named Entity Recognition, Event Extraction and Coreference Resolution.","The three key biomedical NLP tasks are dependency parse construction, coreference resolution, and ontology concept identification."
"CRAFT Shared Tasks 2019 Overview – Integrated Structure, Semantics, and Coreference",What is the CRAFT Shared Tasks 2019?,CRAFT-ST 2019 marks the inaugural use and subsequent release of thirty articles annotated in CRAFT that had previously been held in reserve.,the CRAFT Shared Tasks 2019 provides a platform to gauge the state of the art for three fundamental language processing tasks.
"CRAFT Shared Tasks 2019 Overview – Integrated Structure, Semantics, and Coreference",What is the coreference resolution task?,"Coreference resolution is an active area in the NLP research community that involves identifying identity chains curated in a corpus, such as the OntoNotes project.",The coreference resolution task focuses on linking coreferring base noun phrase mentions into chains using the symmetrical and transitive identity relation. 
"CRAFT Shared Tasks 2019 Overview – Integrated Structure, Semantics, and Coreference",What is the ontology concept annotation task?,Concept Annotation Task (CRAFT-CA),"The ontology concept annotation task involves the identification of concept mentions within text using the classes of ten distinct ontologies in the biomedical domain, both unmodified and augmented with extension classes."
"CRAFT Shared Tasks 2019 Overview – Integrated Structure, Semantics, and Coreference",What is the Labeled Attachment Score (LAS) metric?,The de facto standard metric for evaluating dependency parse performance.,"The Labeled Attachment Score (LAS) metric is the de facto standard metric for evaluating dependency parsing performance, and is commonly defined simply as the fraction of tokens for which the predicted head and dependency relation type (label) match the gold standard."
"PharmaCoNER: Pharmacological Substances, Compounds and proteins Named Entity Recognition track",What is the primary focus of the PharmaCoNER task?,"Named Entity Recognition (NER) for pharmacological substances, compounds, and proteins.",The PharmaCoNER shared task focuses on recognizing pharmaceutical drugs and chemical entities in medical texts in Spanish.
"PharmaCoNER: Pharmacological Substances, Compounds and proteins Named Entity Recognition track",What was the first sub-track of PharmaCoNER?,Recognition and classification of entities.,NER offset and entity classification. The first sub-track focused on the recognition and classification of entities.
"PharmaCoNER: Pharmacological Substances, Compounds and proteins Named Entity Recognition track",What was the second sub-track of PharmaCoNER?,concept-indexing,"The second sub-track consisted of concept indexing, where, for each document, the participating teams had to generate the list of the unique SNOMED-CT concept identifiers, which were compared to the manually annotated concept IDs corresponding to the pharmaceutical drugs and chemical entities."
"PharmaCoNER: Pharmacological Substances, Compounds and proteins Named Entity Recognition track",What is the Spanish Clinical Case Corpus (SPACCC)?,A manually classiﬁed collection of clinical case report sections derived from open access Spanish medical publications.,SPACCC is a manually classified collection of clinical case report sections derived from open access Spanish medical publications.
"PharmaCoNER: Pharmacological Substances, Compounds and proteins Named Entity Recognition track",What are the two sub-tracks involved in the PharmaCoNER challenge?,"Named entity recognition track of chemicals/drugs, Concept-indexing sub-track.",(1) NER offset and entity classification and (2) Concept indexing. 
An Overview of the Active Gene Annotation Corpus and the BioNLP OST 2019 AGAC Track Tasks,What is the Active Gene Annotation Corpus (AGAC) ?,The AGAC is a corpus used for the BioNLP OST 2019 AGAC Track Tasks.,The Active Gene Annotation Corpus (AGAC) is a human-annotated biomedical corpus developed to support knowledge discovery for drug repurposing 
An Overview of the Active Gene Annotation Corpus and the BioNLP OST 2019 AGAC Track Tasks,What are the three main tasks involved in the AGAC BioNLP shared task?,"1) named entity recognition, 2) thematic relation extraction, and 3) loss of function (LOF) / gain of function (GOF) topic classification.",The three main tasks are: 1) Named Entity Recognition (NER); 2) Thematic relation extraction; and 3) loss of function (LOF) / gain of function (GOF) topic classification.
An Overview of the Active Gene Annotation Corpus and the BioNLP OST 2019 AGAC Track Tasks,What is drug repurposing?,Drug repurposing (also known as drug repositioning) is to find new indications of approved drugs.,"Drug repurposing (AKA drug repositioning) is to find new indications of approved drugs, which is an important mean for investigating novel drug efficiency in the pharmaceutical industry."
An Overview of the Active Gene Annotation Corpus and the BioNLP OST 2019 AGAC Track Tasks,What type of models were used in the AGAC shared task?,BERT,Participants used BERT-based joint learning models. These models were effective because they can understand full semantic context and integrate sequence labeling with relation extraction.
An Overview of the Active Gene Annotation Corpus and the BioNLP OST 2019 AGAC Track Tasks,What characterize the AGAC corpus?,"It is annotated for eleven types of named entities (bio-concepts, regulation types, and other entities) and two types of thematic relations between them.","The AGAC corpus is characterized in three terms: imbalanced data, selective annotation, and latent topic annotation."
WikiNEuRal: Combined Neural and Knowledge-based Silver Data Creation for Multilingual NER,What is WikiNEuRal?,"WikiNEuRal is a dataset that can be used to improve domain generalization in named entity recognition (NER) tasks, particularly when gold-standard training data are available but do not match the target test set in terms of textual genre or domains covered.","WikiNEuRal is an automatic, language-independent approach for generating labeled datasets for Named Entity Recognition (NER). It combines knowledge-based techniques using Wikipedia and BabelNet with neural models like multilingual BERT to improve the quality and coverage of NER annotations across languages."
WikiNEuRal: Combined Neural and Knowledge-based Silver Data Creation for Multilingual NER,What is the proposed architecture in the NER data creation process?,WikiNEuRal: Combined Neural and Knowledge-based Silver Data Creation for Multilingual NER.,"The architecture uses a BERT-based classifier to determine whether Wikipedia articles represent named entities or concepts, helping enrich and verify NER labels."
WikiNEuRal: Combined Neural and Knowledge-based Silver Data Creation for Multilingual NER,What is Named Entity Recognition (NER)?,"Named Entity Recognition (NER) is the task of identifying specific words as belonging to pre-defined semantic types, such as Person, Location, Organization, etc.","Named Entity Recognition (NER) is the task of identifying specific words as belonging to predefined semantic types, such as Person, Location, Organization, etc."
WikiNEuRal: Combined Neural and Knowledge-based Silver Data Creation for Multilingual NER,What role does domain adaptation play in the proposed NER data creation method?,"Domain adaptation plays a crucial role in improving the performance of the proposed NER data creation method, WikiNEuRal. It helps to cope with the problem of mismatched topics and genres between different datasets, such as CoNLL and OntoNotes. By adapting the domain, WikiNEuRal can boost its domain coverage, leading to improved results on domain adaptation tasks.",Domain adaptation enables the creation of domain-adapted training data for NER systems when given domain-specific texts.
WikiNEuRal: Combined Neural and Knowledge-based Silver Data Creation for Multilingual NER,How does the paper evaluate the effectiveness of the WikiNEuRal dataset in improving NER performance?,"It is evaluated by comparing its performance with that of WikiNER, the current best-performing approach for NER silver data creation.","The authors evaluated WikiNEuRal using benchmarks like CoNLL and WikiGold across multiple languages. The models trained on this data showed significant performance gains, particularly in domain generalization and low-resource scenarios, with improvements of up to 6 span-based F1-score points on common benchmarks for NER against state-of-the-art alternative data production methods."
Corpus annotation for mining biomedical events from literature,What is the primary focus of the annotation principles discussed in the paper ?,Coreference annotation and resolution.,"The focus is on a new type of semantic annotation, event annotation, achieving biology-oriented annotation that reflects biologists’ interpretation of text, and ensuring homogeneity of annotation quality"
Corpus annotation for mining biomedical events from literature,What is a pathway?,"A pathway is a representation of biological events organized around state-changes of continuants, with entities as major players, and showing general causality between intertwined events.","A pathway is a detailed graphical representation of a biological system, which comprises a set of mutually related events."
Corpus annotation for mining biomedical events from literature,What is the GENIA event ontology?,"The GENIA event ontology provides vocabulary for predicates (e.g. ""binding"", ""phosphorylation"", etc.) and defines a hierarchy of event classes, including some inherited from GO with modified definitions, as well as three additional classes not found in GO: Gene Expression, Artificial Process, and Correlation.",The GENIA event ontology defines and classifies events (or occurrents in the terminology of philosophical ontology ) which are of interest in the GENIA domain.
Corpus annotation for mining biomedical events from literature,How does the paper differentiate between pathway representations and natural language event annotations?,"Pathway representations are entity-centered, organizing information around state-changes of continuants, whereas natural language event annotations are predicate-centered, focusing on events organized around predicates.","Pathway representations, such as SBML, are entity-centered and explicitly encode causality through sequences of state changes, whereas natural language event annotations are predicate-centered, often lack explicit causality, and require nuanced annotation strategies to capture complex biological phenomena."
Corpus annotation for mining biomedical events from literature,What is Artificial_process?,Artificial_process describes experimental processes which are performed by human researchers.,Artificial_process describes experimental processes which are performed by human researchers.
Cross-lingual Name Tagging and Linking for 282 Languages,What is the main goal of the framework proposed in this paper?,Not explicitly stated.,"The main goal of the framework is to is to develop a cross-lingual name tagging and linking framework for 282 languages that exist in Wikipedia, which can identify name mentions, assign entity types, and link them to an English Knowledge Base if possible."
Cross-lingual Name Tagging and Linking for 282 Languages,How does the framework generate initial entity annotations for name tagging across languages?,"It uses Wikipedia data as ""silver-standard"" to train and test the model, with 70% of selected sentences used for training and 30% for testing.","It classifies English Wikipedia entries into certain entity types and then propagate these labels to other languages using cross-lingual Wikipedia links, creating 'silver-standard' training annotations."
Cross-lingual Name Tagging and Linking for 282 Languages,What machine learning architecture does the system use for the name tagging task?,BERT-based neural model,"The system uses a Bi-directional Long Short-Term Memory (Bi-LSTM) combined with a Conditional Random Fields (CRF) network, trained with features derived from Wikipedia markups such as stems, affixes, and gazetteers."
Cross-lingual Name Tagging and Linking for 282 Languages,How do the authors refine annotations?,"They don't. They leave some events with missing arguments to be filled in from context, which is left as future work.",The authors apply self-training to label other mentions without links in Wikipedia articles even if they have different surface forms from the linked mentions.
Cross-lingual Name Tagging and Linking for 282 Languages,What is the solution proposed by the authors,"To ensure that each annotation is grounded in textual evidence and to prevent unbounded interpretation, the authors propose two main solutions: (1) requiring annotators to provide ""clue words"" or ""clue expressions"" for each annotation, which must be present in the text; and (2) aligning annotations to single sentences, with some exceptions allowed for anaphoric expressions, which are explicitly indicated by a special link (Co-Ref link).","The authors propose to break language barriers by extracting information (e.g., entities) from a massive variety of languages and ground the information into an existing knowledge base which is accessible to a user in his/her own language."
Results of the WNUT2017 Shared Task on Novel and Emerging Entity Recognition,What is the main objective of the WNUT2017 Shared Task discussed in the paper?,"To provide a definition of emerging and rare entities, and to create datasets for detecting these entities.",The main objective of the WNUT2017 Shared Task is to provide a definition of emerging and of rare entities and provide datasets for detecting these entities.
Results of the WNUT2017 Shared Task on Novel and Emerging Entity Recognition,What is the dataset used in this paper?,Twitter streaming API and StackExchange.,"To focus the task on emerging and rare entities,they used a dataset where very few surface forms occur in regular training data and very few surface forms occur more than once"
Results of the WNUT2017 Shared Task on Novel and Emerging Entity Recognition,Why is recognizing emerging entities challenging??,"Recognizing emerging entities is challenging because entities mentioned vary over time, as does the linguistic context in which entities are situated."," Recognizing emerging entities in noisy text is more difficult than on high frequent entities, and systems often fail to generalize successfully."
Results of the WNUT2017 Shared Task on Novel and Emerging Entity Recognition,What types of entities are mostly contained in the dataset?,Novel toponyms.,"The dataset contained mostly rare and novel entities of the types person, location, corporation, product, creative-work, and group"
Results of the WNUT2017 Shared Task on Novel and Emerging Entity Recognition,What methodS do the authors propose to tackle the issue of entity recognition in their research?,"Tokenization using twokenizer and processing through GATE (Cunningham et al., 2012) for crowdsourcing.","The authors propose a combination of supervised and unsupervised learning techniques, leveraging existing corpuses and incorporating techniques for zero-shot learning to enhance the detection of entities that have not been previously encountered."
