Question,GT SPARQL,Generated SPARQL,BLEU,Jaccard,BERTScore
"What is the webpage of the author Wang, Chao?",SELECT DISTINCT ?answer WHERE { <https://dblp.org/pid/w/ChaoWang> <https://dblp.org/rdf/schema#webpage> ?answer },SELECT DISTINCT ?answer WHERE { <https://dblp.org/pid/w/ChaoWang> <https://dblp.org/rdf/schema#webpage> ?answer },1.0,1.0,"(1.0, 1.0, 1.0)"
Mention the primary affiliation of Khaled Salah.,SELECT DISTINCT ?answer WHERE { <https://dblp.org/pid/s/KhaledSalah> <https://dblp.org/rdf/schema#primaryAffiliation> ?answer },SELECT DISTINCT ?answer WHERE { <https://dblp.org/pid/s/KhaledSalah> <https://dblp.org/rdf/schema#primaryAffiliation> ?answer },1.0,1.0,"(0.9999999403953552, 0.9999999403953552, 0.9999999403953552)"
What are the papers written by Dinesh M.?,SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/m/DineshManocha> },SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/m/DineshManocha> },1.0,1.0,"(1.0, 1.0, 1.0)"
Which publications did Gerhard S. author?,SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/86/716> },SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/86/716> },1.0,1.0,"(0.9999999403953552, 0.9999999403953552, 0.9999999403953552)"
"Which publications did W\u00E1ng, Y. N. write?",SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/87/10270> },SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/87/10270> },1.0,1.0,"(0.9999999403953552, 0.9999999403953552, 0.9999999403953552)"
"Which papers did the author Silva-Faundez, Joaquin Alder write?",SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/63/10539> },SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/63/10539> },1.0,1.0,"(0.9999999403953552, 0.9999999403953552, 0.9999999403953552)"
"What are the publications written by the author How, J. P.?",SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/43/1256> },SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/43/1256> },1.0,1.0,"(0.9999999403953552, 0.9999999403953552, 0.9999999403953552)"
What are the papers written by the person X. He?,SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/206/0860> },SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/206/0860> },1.0,1.0,"(1.0, 1.0, 1.0)"
Which publications did M. Sloan write?,SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/86/11204> },SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/86/11204> },1.0,1.0,"(1.0, 1.0, 1.0)"
"Mention the ORCID of the researcher Torgo, L..",SELECT DISTINCT ?answer WHERE { <https://dblp.org/pid/60/1153> <https://dblp.org/rdf/schema#orcid> ?answer },"SELECT DISTINCT ?orcid WHERE { <https://dblp.org/pid/60/1153> <http://xmlns.com/foaf/0.1/name> ""Torgo, L."" . <https://dblp.org/pid/60/1153> <https://schema.org/orcid> ?orcid }",3.6799428630948515e-78,0.8936170212765957,"(0.9452757835388184, 0.9114099144935608, 0.9280340075492859)"
What is the webpage of the author Christian Wagner?,SELECT DISTINCT ?answer WHERE { <https://dblp.org/pid/01/2903-1> <https://dblp.org/rdf/schema#webpage> ?answer },SELECT DISTINCT ?answer WHERE { <https://dblp.org/pid/01/2903-1> <https://dblp.org/rdf/schema#webpage> ?answer },1.0,1.0,"(1.0, 1.0, 1.0)"
"What is the Wikidata ID of Offutt, A. Jefferson?",SELECT DISTINCT ?answer WHERE { <https://dblp.org/pid/o/AJeffersonOffutt> <https://dblp.org/rdf/schema#wikidata> ?answer },SELECT DISTINCT ?answer WHERE { <https://dblp.org/pid/o/AJeffersonOffutt> <https://dblp.org/rdf/schema#wikidata> ?answer },1.0,1.0,"(1.0, 1.0, 1.0)"
Which publications did Andrey Naumenko author?,SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/n/AndreyNaumenko> },SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/n/AndreyNaumenko> },1.0,1.0,"(0.9999998807907104, 0.9999998807907104, 0.9999998807907104)"
What is the primary affiliation of the author Shengli W.?,SELECT DISTINCT ?answer WHERE { <https://dblp.org/pid/w/ShengliWu> <https://dblp.org/rdf/schema#primaryAffiliation> ?answer },SELECT DISTINCT ?answer WHERE { <https://dblp.org/pid/w/ShengliWu> <https://dblp.org/rdf/schema#primaryAffiliation> ?answer },1.0,1.0,"(1.0, 1.0, 1.0)"
What is the ORCID of Bo L.?,SELECT DISTINCT ?answer WHERE { <https://dblp.org/pid/50/3402-1> <https://dblp.org/rdf/schema#orcid> ?answer },SELECT DISTINCT ?answer WHERE { <https://dblp.org/pid/50/3402-1> <https://dblp.org/rdf/schema#orcid> ?answer },1.0,1.0,"(1.0, 1.0, 1.0)"
What are the publications written by the author Felix Martinez-Rios?,SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/46/6830> },SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/46/6830> },1.0,1.0,"(1.0, 1.0, 1.0)"
"What is the webpage of Rodriguez, J.?",SELECT DISTINCT ?answer WHERE { <https://dblp.org/pid/04/1616> <https://dblp.org/rdf/schema#webpage> ?answer },SELECT DISTINCT ?answer WHERE { <https://dblp.org/pid/04/1616> <https://dblp.org/rdf/schema#webpage> ?answer },1.0,1.0,"(0.9999999403953552, 0.9999999403953552, 0.9999999403953552)"
What are the papers written by the person Kenneth Chang?,SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/208/1911> },SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/208/1911> },1.0,1.0,"(0.9999999403953552, 0.9999999403953552, 0.9999999403953552)"
What are the publications written by the author Sunyoung H.?,SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/05/58> },SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/05/58> },1.0,1.0,"(1.0, 1.0, 1.0)"
"Which publications did Garfield, Monica J. author?",SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/81/5552> },SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/81/5552> },1.0,1.0,"(1.0, 1.0, 1.0)"
"Which papers did the author Liu, Z. write?",SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/70/1220-1> },SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/70/1220-1> },1.0,1.0,"(1.0, 1.0, 1.0)"
Which papers did the author Salwa K. Abd-El-Hafiz write?,SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/07/5830> },SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/07/5830> },1.0,1.0,"(1.0, 1.0, 1.0)"
"Which publications did Apt, Krzysztof R. write?",SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/a/KRApt> },SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/a/KRApt> },1.0,1.0,"(0.9999998807907104, 0.9999998807907104, 0.9999998807907104)"
What are the papers written by Lih-Wee Chew?,SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/39/6118> },SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/39/6118> },1.0,1.0,"(1.0, 1.0, 1.0)"
What is the webpage of the person Oliver G\u00FCnther?,SELECT DISTINCT ?answer WHERE { <https://dblp.org/pid/g/OliverGunther> <https://dblp.org/rdf/schema#webpage> ?answer },SELECT DISTINCT ?answer WHERE { <https://dblp.org/pid/g/OliverGunther> <https://dblp.org/rdf/schema#webpage> ?answer },1.0,1.0,"(1.0, 1.0, 1.0)"
What are the papers written by the person Michel Defrise?,SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/41/1765> },SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/41/1765> },1.0,1.0,"(0.9999999403953552, 0.9999999403953552, 0.9999999403953552)"
What are the publications written by the author D. H\u00FCnerbein?,SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/83/10> },SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/83/10> },1.0,1.0,"(0.9999999403953552, 0.9999999403953552, 0.9999999403953552)"
What are the papers written by Judith M. LaLonde?,SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/140/9134> },SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/140/9134> },1.0,1.0,"(1.0, 1.0, 1.0)"
Which publications did Feng Liu write?,SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/77/1318-35> },SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/77/1318-35> },1.0,1.0,"(1.0, 1.0, 1.0)"
J\u00E1nos Pach is primarily affiliated to which institution?,SELECT DISTINCT ?answer WHERE { <https://dblp.org/pid/18/2119> <https://dblp.org/rdf/schema#primaryAffiliation> ?answer },SELECT DISTINCT ?answer WHERE { <https://dblp.org/pid/18/2119> <https://dblp.org/rdf/schema#primaryAffiliation> ?answer },1.0,1.0,"(0.9999998807907104, 0.9999998807907104, 0.9999998807907104)"
"Which papers did the author Kamsu-Foguem, B. write?",SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/121/5532> },SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/121/5532> },1.0,1.0,"(1.0, 1.0, 1.0)"
What is the ORCID of Sudhakar M. Reddy?,SELECT DISTINCT ?answer WHERE { <https://dblp.org/pid/r/SudhakarMReddy> <https://dblp.org/rdf/schema#orcid> ?answer },SELECT DISTINCT ?orcid WHERE { <https://dblp.org/pid/r/SudhakarMReddy> <http://schema.org/sameAs> ?orcid },5.30941411456236e-78,0.8863636363636364,"(0.9575189352035522, 0.9627851247787476, 0.9601448178291321)"
What are the papers written by J. Villaneau?,SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/59/6925> },SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/59/6925> },1.0,1.0,"(1.0, 1.0, 1.0)"
What are the papers written by H. Rudin?,SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/33/4000> },SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/33/4000> },1.0,1.0,"(1.0, 1.0, 1.0)"
What are the publications written by the author Pedro R.?,SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/252/1438> },SELECT DISTINCT ?publication WHERE { <https://dblp.org/pid/252/1438> <http://purl.org/vocab/bibtex/schema#author> ?publication },9.53091075863908e-155,0.88,"(0.9428542852401733, 0.926051139831543, 0.9343771934509277)"
"Which publications did Kim, Junmo write?",SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/40/240> },SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/40/240> },1.0,1.0,"(1.0, 1.0, 1.0)"
"What is the webpage of the person Fardoun, Habib?",SELECT DISTINCT ?answer WHERE { <https://dblp.org/pid/24/7186> <https://dblp.org/rdf/schema#webpage> ?answer },SELECT DISTINCT ?answer WHERE { <https://dblp.org/pid/24/7186> <https://dblp.org/rdf/schema#webpage> ?answer },1.0,1.0,"(0.9999999403953552, 0.9999999403953552, 0.9999999403953552)"
Which publications did Peter K. write?,SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/77/115> },SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/77/115> },1.0,1.0,"(1.0, 1.0, 1.0)"
"What are the papers written by Yoon, S.?",SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/40/2705> },SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/40/2705> },1.0,1.0,"(0.9999999403953552, 0.9999999403953552, 0.9999999403953552)"
Which publications did Yannis Bakos write?,SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/60/205> },SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/60/205> },1.0,1.0,"(1.0, 1.0, 1.0)"
The author M. S. Kankanhalli is associated with which Wikidata identifier?,SELECT DISTINCT ?answer WHERE { <https://dblp.org/pid/09/3613> <https://dblp.org/rdf/schema#wikidata> ?answer },SELECT DISTINCT ?answer WHERE { <https://dblp.org/pid/09/3613> <https://dblp.org/rdf/schema#wikidata> ?answer },1.0,1.0,"(0.9999998807907104, 0.9999998807907104, 0.9999998807907104)"
