Question,GT SPARQL,Generated SPARQL,BLEU,Jaccard,BERTScore
Which papers did the author Stefan Schreiber write?,SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/00/2941> },"```sparql
SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/00/2941> } 
```",0.7860753021519787,0.94,"(0.9730722904205322, 0.93425452709198, 0.9532684087753296)"
"Mention the ORCID of the researcher El-Gayar, Omar F..",SELECT DISTINCT ?answer WHERE { <https://dblp.org/pid/16/304> <https://dblp.org/rdf/schema#orcid> ?answer },"```sparql
SELECT DISTINCT ?answer WHERE { ?x <https://dblp.org/rdf/schema#author> <https://dblp.org/pid/16/304> . ?x <https://dblp.org/rdf/schema#orcid> ?answer } 
```",0.3388714363186176,0.8979591836734694,"(0.9515470266342163, 0.9109665751457214, 0.9308147430419922)"
Mention the ORCID of the researcher Joaquin Vanschoren.,SELECT DISTINCT ?answer WHERE { <https://dblp.org/pid/85/5045> <https://dblp.org/rdf/schema#orcid> ?answer },"SELECT DISTINCT ?answer WHERE { <https://dblp.org/pid/85/5045> <https://dblp.org/rdf/schema#orcid> ?answer } 
",1.0,0.9772727272727273,"(1.0, 1.0, 1.0)"
What is the ORCID of the person P. J. Bentley?,SELECT DISTINCT ?answer WHERE { <https://dblp.org/pid/35/6713> <https://dblp.org/rdf/schema#orcid> ?answer },"```sparql
SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#author> <https://dblp.org/pid/35/6713> . ?answer <https://dblp.org/rdf/schema#orcid> ?answer } 
```",0.3388714363186176,0.9166666666666666,"(0.9534642696380615, 0.9181979298591614, 0.9354988932609558)"
What is the ORCID of the person Goele Pipeleers?,SELECT DISTINCT ?answer WHERE { <https://dblp.org/pid/98/4973> <https://dblp.org/rdf/schema#orcid> ?answer },"```sparql
SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#author> <https://dblp.org/pid/98/4973> . 
?answer <https://dblp.org/rdf/schema#orcid> ?answer2 }
```",0.284955776032203,0.8979591836734694,"(0.9489877223968506, 0.9105559587478638, 0.9293746948242188)"
The author Daniel S. Weld is associated with which Wikidata identifier?,SELECT DISTINCT ?answer WHERE { <https://dblp.org/pid/w/DanielSWeld> <https://dblp.org/rdf/schema#wikidata> ?answer },"```sparql
SELECT DISTINCT ?answer WHERE { <https://dblp.org/pid/w/DanielSWeld> <https://dblp.org/rdf/schema#wikidata> ?answer } 
```",0.7860753021519787,0.9302325581395349,"(0.9744359254837036, 0.9384829998016357, 0.956121563911438)"
What are the papers written by the person Christian A. Larsson?,SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/11/9186> },"```sparql
SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/11/9186> }
```",0.7860753021519787,0.9387755102040817,"(0.9743731617927551, 0.9405696988105774, 0.9571731090545654)"
"What is the ORCID of the person Hirschfeld, James W. P.?",SELECT DISTINCT ?answer WHERE { <https://dblp.org/pid/h/JWPHirschfeld> <https://dblp.org/rdf/schema#orcid> ?answer },"```sparql
SELECT DISTINCT ?answer WHERE { <https://dblp.org/pid/h/JWPHirschfeld> <https://dblp.org/rdf/schema#orcid> ?answer } 
```",0.7860753021519787,0.9318181818181818,"(0.9742037653923035, 0.9378551244735718, 0.9556840062141418)"
"What are the papers written by Brereton, Margot?",SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/93/5922> },"```sparql
SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/93/5922> }
```",0.7860753021519787,0.9387755102040817,"(0.9739281535148621, 0.9403195977210999, 0.9568288326263428)"
What are the papers written by the person Jo\u00E3o Manuel R. S. Tavares?,SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/t/JoaoManuelRSTavares> },"```sparql
SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/t/JoaoManuelRSTavares> } 
```",0.7860753021519787,0.9375,"(0.9724689722061157, 0.9364737272262573, 0.9541319608688354)"
"What is the Wikidata ID of Kreinovich, V.?",SELECT DISTINCT ?answer WHERE { <https://dblp.org/pid/k/VladikKreinovich> <https://dblp.org/rdf/schema#wikidata> ?answer },"SELECT DISTINCT ?answer WHERE { <https://dblp.org/pid/k/VladikKreinovich> <https://www.wikidata.org/prop/direct/P214> ?answer } 
",0.6606328636027614,0.8333333333333334,"(0.958488941192627, 0.9596158266067505, 0.9590520262718201)"
Which publications did Jean-Didier M. write?,SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/26/1550> },"```sparql
SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/26/1550> } 
```",0.7860753021519787,0.94,"(0.9733680486679077, 0.9344871044158936, 0.9535313844680786)"
"Mention the ORCID of the researcher Turcanu, Ion.",SELECT DISTINCT ?answer WHERE { <https://dblp.org/pid/170/2615> <https://dblp.org/rdf/schema#orcid> ?answer },"```sparql
SELECT DISTINCT ?answer WHERE { ?x <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/170/2615> . ?x <https://dblp.org/rdf/schema#hasORCID> ?answer } 
```",0.2925612730731506,0.8490566037735849,"(0.9472999572753906, 0.9047871828079224, 0.9255556464195251)"
Which publications did N. D\u00F6llinger write?,SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/222/9250> },"```sparql
SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/222/9250> } 
```",0.7860753021519787,0.9387755102040817,"(0.9736803770065308, 0.9346992373466492, 0.9537917375564575)"
What is the Wikidata identifier of the author Borko Furht?,SELECT DISTINCT ?answer WHERE { <https://dblp.org/pid/f/BorkoFurht> <https://dblp.org/rdf/schema#wikidata> ?answer },"```sparql
SELECT DISTINCT ?answer WHERE { <https://dblp.org/pid/f/BorkoFurht> <https://dblp.org/rdf/schema#wikidata> ?answer } 
```",0.7860753021519787,0.9347826086956522,"(0.9742466807365417, 0.9388262033462524, 0.9562085270881653)"
Which publications did Ellen Riloff write?,SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/r/ERiloff> },"```sparql
SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/r/ERiloff> } 
```",0.7860753021519787,0.9333333333333333,"(0.972716212272644, 0.9339653253555298, 0.9529469609260559)"
"Which publications did Matsuura, Hiroshi write?",SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/58/2802> },"SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/58/2802> } 
",1.0,0.9787234042553191,"(0.9999999403953552, 0.9999999403953552, 0.9999999403953552)"
"Which publications did Liu, X. write?",SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/21/4323> },"```sparql
SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/21/4323> }
```",0.7860753021519787,0.9387755102040817,"(0.9735684394836426, 0.9399709701538086, 0.956474781036377)"
"Which publications did Hollingshead, A. write?",SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/236/6551> },"```sparql
SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/236/6551> } 
```",0.7860753021519787,0.94,"(0.9735974073410034, 0.934579074382782, 0.9536893367767334)"
"What is the webpage of the author Wang, Chao?",SELECT DISTINCT ?answer WHERE { <https://dblp.org/pid/w/ChaoWang> <https://dblp.org/rdf/schema#webpage> ?answer },"```sparql
SELECT DISTINCT ?answer WHERE { <https://dblp.org/pid/w/ChaoWang> <https://dblp.org/rdf/schema#webpage> ?answer }
```",0.7860753021519787,0.9285714285714286,"(0.9732820987701416, 0.9411278963088989, 0.9569349884986877)"
Mention the primary affiliation of Khaled Salah.,SELECT DISTINCT ?answer WHERE { <https://dblp.org/pid/s/KhaledSalah> <https://dblp.org/rdf/schema#primaryAffiliation> ?answer },"```sparql
SELECT DISTINCT ?answer WHERE { <https://dblp.org/pid/s/KhaledSalah> <https://dblp.org/rdf/schema#primaryAffiliation> ?answer } 
```",0.7860753021519787,0.9333333333333333,"(0.9741577506065369, 0.9380570650100708, 0.9557666778564453)"
What are the papers written by Dinesh M.?,SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/m/DineshManocha> },"```sparql
SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/m/DineshManocha> }
```",0.7860753021519787,0.9347826086956522,"(0.9751476049423218, 0.9432187080383301, 0.9589174389839172)"
Which publications did Gerhard S. author?,SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/86/716> },"```sparql
SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/86/716> } 
```",0.7860753021519787,0.9387755102040817,"(0.9736358523368835, 0.9346299171447754, 0.9537341594696045)"
"Which publications did W\u00E1ng, Y. N. write?",SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/87/10270> },"```sparql
SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/87/10270> } 
```",0.7860753021519787,0.94,"(0.9727143049240112, 0.9338626861572266, 0.9528926014900208)"
"Which papers did the author Silva-Faundez, Joaquin Alder write?",SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/63/10539> },"SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/63/10539> } 
",1.0,0.9795918367346939,"(1.0, 1.0, 1.0)"
"What are the publications written by the author How, J. P.?",SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/43/1256> },"```sparql
SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/43/1256> } 
```",0.7860753021519787,0.9411764705882353,"(0.9727761149406433, 0.9339659214019775, 0.9529759883880615)"
What are the papers written by the person X. He?,SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/206/0860> },"```sparql
SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/206/0860> } 
```",0.7860753021519787,0.9387755102040817,"(0.9733794927597046, 0.9344444274902344, 0.9535146355628967)"
Which publications did M. Sloan write?,SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/86/11204> },"```sparql
SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/86/11204> } 
```",0.7860753021519787,0.9411764705882353,"(0.9738197326660156, 0.9347733855247498, 0.9538971185684204)"
"Mention the ORCID of the researcher Torgo, L..",SELECT DISTINCT ?answer WHERE { <https://dblp.org/pid/60/1153> <https://dblp.org/rdf/schema#orcid> ?answer },"```sparql
SELECT DISTINCT ?answer WHERE { 
  ?x <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/60/1153> . 
  ?x <https://dblp.org/rdf/schema#author> ?answer .
FILTER (isLiteral(?answer))
}
```",0.22612164703205964,0.8148148148148148,"(0.9297924637794495, 0.8711187243461609, 0.8994998335838318)"
What is the webpage of the author Christian Wagner?,SELECT DISTINCT ?answer WHERE { <https://dblp.org/pid/01/2903-1> <https://dblp.org/rdf/schema#webpage> ?answer },"```sparql
SELECT DISTINCT ?answer WHERE { <https://dblp.org/pid/01/2903-1> <https://dblp.org/rdf/schema#webpage> ?answer } 
```",0.7860753021519787,0.9375,"(0.973471999168396, 0.9361245632171631, 0.9544330835342407)"
"What is the Wikidata ID of Offutt, A. Jefferson?",SELECT DISTINCT ?answer WHERE { <https://dblp.org/pid/o/AJeffersonOffutt> <https://dblp.org/rdf/schema#wikidata> ?answer },"```sparql
SELECT DISTINCT ?answer WHERE { <https://dblp.org/pid/o/AJeffersonOffutt> <https://dblp.org/rdf/schema#wikidata> ?answer }
```",0.7860753021519787,0.9361702127659575,"(0.9751938581466675, 0.9442087411880493, 0.9594511985778809)"
Which publications did Andrey Naumenko author?,SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/n/AndreyNaumenko> },"```sparql
SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/n/AndreyNaumenko> } 
```",0.7860753021519787,0.9361702127659575,"(0.9739170670509338, 0.9365083575248718, 0.9548464417457581)"
What is the primary affiliation of the author Shengli W.?,SELECT DISTINCT ?answer WHERE { <https://dblp.org/pid/w/ShengliWu> <https://dblp.org/rdf/schema#primaryAffiliation> ?answer },"```sparql
SELECT DISTINCT ?answer WHERE { <https://dblp.org/pid/w/ShengliWu> <https://dblp.org/rdf/schema#primaryAffiliation> ?answer } 
```",0.7860753021519787,0.9333333333333333,"(0.9731650352478027, 0.9372502565383911, 0.9548700451850891)"
What is the ORCID of Bo L.?,SELECT DISTINCT ?answer WHERE { <https://dblp.org/pid/50/3402-1> <https://dblp.org/rdf/schema#orcid> ?answer },"```sparql
SELECT DISTINCT ?answer WHERE { <https://dblp.org/pid/50/3402-1> <https://dblp.org/rdf/schema#orcid> ?answer } 
```",0.7860753021519787,0.9387755102040817,"(0.9712752103805542, 0.9347625970840454, 0.9526691436767578)"
What are the publications written by the author Felix Martinez-Rios?,SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/46/6830> },"```sparql
SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/46/6830> } 
```",0.7860753021519787,0.94,"(0.9733529686927795, 0.9344335198402405, 0.9534962177276611)"
"What is the webpage of Rodriguez, J.?",SELECT DISTINCT ?answer WHERE { <https://dblp.org/pid/04/1616> <https://dblp.org/rdf/schema#webpage> ?answer },"```sparql
SELECT DISTINCT ?answer WHERE { <https://dblp.org/pid/04/1616> <https://dblp.org/rdf/schema#webpage> ?answer } 
```",0.7860753021519787,0.9347826086956522,"(0.9711127281188965, 0.9337517023086548, 0.9520658254623413)"
What are the papers written by the person Kenneth Chang?,SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/208/1911> },"```sparql
SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/208/1911> } 
```",0.7860753021519787,0.94,"(0.9729348421096802, 0.934019923210144, 0.9530802965164185)"
What are the publications written by the author Sunyoung H.?,SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/05/58> },"```sparql
SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/05/58> } 
```",0.7860753021519787,0.9375,"(0.9718499183654785, 0.9323210716247559, 0.9516751766204834)"
"Which publications did Garfield, Monica J. author?",SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/81/5552> },"SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/81/5552> } 
",1.0,0.9787234042553191,"(1.0, 1.0, 1.0)"
"Which papers did the author Liu, Z. write?",SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/70/1220-1> },"```sparql
SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/70/1220-1> } 
```",0.7860753021519787,0.94,"(0.9752123355865479, 0.9367455244064331, 0.9555919766426086)"
Which papers did the author Salwa K. Abd-El-Hafiz write?,SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/07/5830> },"```sparql
SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/07/5830> } 
```",0.7860753021519787,0.94,"(0.9729515314102173, 0.9340635538101196, 0.9531110525131226)"
"Which publications did Apt, Krzysztof R. write?",SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/a/KRApt> },"```sparql
SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/a/KRApt> } 
```",0.7860753021519787,0.9361702127659575,"(0.9722385406494141, 0.9343263506889343, 0.9529054760932922)"
What are the papers written by Lih-Wee Chew?,SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/39/6118> },"SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/39/6118> } 
",1.0,0.9791666666666666,"(0.9999999403953552, 0.9999999403953552, 0.9999999403953552)"
What is the webpage of the person Oliver G\u00FCnther?,SELECT DISTINCT ?answer WHERE { <https://dblp.org/pid/g/OliverGunther> <https://dblp.org/rdf/schema#webpage> ?answer },"```sparql
SELECT DISTINCT ?answer WHERE { <https://dblp.org/pid/g/OliverGunther> <https://dblp.org/rdf/schema#webpage> ?answer } 
```",0.7860753021519787,0.9347826086956522,"(0.9741960763931274, 0.9365428686141968, 0.9549984931945801)"
What are the papers written by the person Michel Defrise?,SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/41/1765> },"SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/41/1765> } 
",1.0,0.9791666666666666,"(1.0, 1.0, 1.0)"
What are the publications written by the author D. H\u00FCnerbein?,SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/83/10> },"```sparql
SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/83/10> } 
```",0.7860753021519787,0.9387755102040817,"(0.9720461368560791, 0.9325223565101624, 0.9518741369247437)"
What are the papers written by Judith M. LaLonde?,SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/140/9134> },"```sparql
SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/140/9134> } 
```",0.7860753021519787,0.94,"(0.9731374979019165, 0.9342270493507385, 0.9532853364944458)"
Which publications did Feng Liu write?,SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/77/1318-35> },"SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/77/1318-35> } 
",1.0,0.9795918367346939,"(1.0, 1.0, 1.0)"
J\u00E1nos Pach is primarily affiliated to which institution?,SELECT DISTINCT ?answer WHERE { <https://dblp.org/pid/18/2119> <https://dblp.org/rdf/schema#primaryAffiliation> ?answer },"```sparql
SELECT DISTINCT ?answer WHERE { <https://dblp.org/pid/18/2119> <https://dblp.org/rdf/schema#primaryAffiliation> ?answer } 
```",0.7860753021519787,0.9375,"(0.971056342124939, 0.9339150786399841, 0.9521236419677734)"
"Which papers did the author Kamsu-Foguem, B. write?",SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/121/5532> },"```sparql
SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/121/5532> } 
```",0.7860753021519787,0.9387755102040817,"(0.9742245674133301, 0.9351869225502014, 0.9543067216873169)"
What is the ORCID of Sudhakar M. Reddy?,SELECT DISTINCT ?answer WHERE { <https://dblp.org/pid/r/SudhakarMReddy> <https://dblp.org/rdf/schema#orcid> ?answer },"```sparql
SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#author> <https://dblp.org/pid/r/SudhakarMReddy> . 
?answer <https://dblp.org/rdf/schema#orcid> ?answer }
```",0.3388714363186176,0.9347826086956522,"(0.9512421488761902, 0.911597490310669, 0.930997908115387)"
