title,question,response
Improving Open Information Extraction via Iterative Rank-Aware Learning,How does this compare to traditional calibration methods like Platt Scaling?,This method is more accurate than traditional calibration methods like Platt Scaling.
Detecting Online Hate Speech Using Context Aware Models,How do they combine the models?,"They use multi-task learning to consider RC, passage ranking, and answer possibility classification together."
"Plan, Write, and Revise: an Interactive System for Open-Domain Story Generation",How is human interaction consumed by the model?,"Human interaction is consumed by the model through user input, which is lowercased and tokenized to match the model training data. The model then generates output based on this input, and the user can interact with the generated text by inserting their own text, removing generated text, or regenerating sentences."
Collecting Indicators of Compromise from Unstructured Text of Cybersecurity Articles using Neural-Based Sequence Labelling,What is used a baseline?,Nothing.
Polysemy Detection in Distributed Representation of Word Sense,How is the fluctuation in the sense of the word and its neighbors measured?,Volatility.
Neural Domain Adaptation for Biomedical Question Answering,"Among various transfer learning techniques, which technique yields to the best performance?",XR training using our method.
MMM: Multi-stage Multi-task Learning for Multi-choice Reading Comprehension,How big are improvements of MMM over state of the art?,16.9%
Modeling Event Background for If-Then Commonsense Reasoning Using Context-aware Variational Autoencoder,How do they measure the diversity of inferences?,They don't mention how to measure the diversity of inferences.
Comparing Human and Machine Errors in Conversational Speech Transcription,what standard speech transcription pipeline was used?,None.
Identifying and Understanding User Reactions to Deceptive and Trusted Social News Sources,How is speed measured?,Speed is not mentioned in the given context.
Paraphrase Generation from Latent-Variable PCFGs for Semantic Parsing,Do they evaluate the quality of the paraphrasing model?,No.
"Characterizing Diabetes, Diet, Exercise, and Obesity Comments on Twitter",Do they evaluate only on English data?,No.
FlowSeq: Non-Autoregressive Conditional Sequence Generation with Generative Flow,Does this model train faster than state of the art models?,Yes.
On Leveraging the Visual Modality for Neural Machine Translation,What is result of their attention distribution analysis?,They found that the three attention maps are fairly similar despite the completely different decisions.
Learning to Recover Reasoning Chains for Multi-Hop Question Answering via Cooperative Games,What are two models' architectures in proposed solution?,"Two models' architectures are not explicitly mentioned in the provided snippet. However, it mentions an additional ""generator"" component that outputs a textual explanation of the model's decision."
A Set of Recommendations for Assessing Human-Machine Parity in Language Translation,What empricial investigations do they reference?,Miller (2018)
Effective Use of Transformer Networks for Entity Tracking,Do they report results only on English?,No.
Recognizing Musical Entities in User-generated Content,What are their results on the entity recognition task?,"Their model performs surprisingly well, nearly as well as the first occurrence baseline."
MIT-QCRI Arabic Dialect Identification System for the 2017 Multi-Genre Broadcast Challenge,What is the architecture of the siamese neural network?,"Symmetrical component to extract high level features from different input channels, which share parameters and map inputs to the same vector space."
Bias in Semantic and Discourse Interpretation,What factors contribute to interpretive biases according to this research?,"The framework developed in this research provides tools for understanding and analyzing the range of interpretive biases, but it does not specify what factors contribute to them."
QuaRel: A Dataset and Models for Answering Questions about Qualitative Relationships,How does the QuaSP+Zero model work?,It uses an entity-linking approach applied to properties.
Indiscapes: Instance Segmentation Networks for Layout Parsing of Historical Indic Manuscripts,What accuracy does CNN model achieve?,0.373
Evaluating Rewards for Question Generation Models,What human evaluation metrics were used in the paper?,Human-targeted metrics for machine translation.
Deep contextualized word representations for detecting sarcasm and irony,Do they evaluate only on English?,No.
Phonetic Feedback for Speech Enhancement With and Without Parallel Speech Data,Which frozen acoustic model do they use?,None.
Assessing the Efficacy of Clinical Sentiment Analysis and Topic Extraction in Psychiatric Readmission Risk Prediction,What features are used?,linguistic characteristic of a claim and its context
Analysing Coreference in Transformer Outputs,What translationese effects are seen in the analysis?,MT artefacts remaining even after manual post-editing.
NumNet: Machine Reading Comprehension with Numerical Reasoning,what are the existing models they compared with?,BERT model without context and BERT model with flat context representation.
Learning Representations of Emotional Speech with Deep Convolutional Generative Adversarial Networks,What model achieves state of the art performance on this task?,BERT-Base
Cohesion and Coalition Formation in the European Parliament: Roll-Call Votes and Twitter Activities,Do the authors mention any possible confounds in their study?,No
Grounding the Semantics of Part-of-Day Nouns Worldwide using Twitter,How many languages are included in the tweets?,No specific number of languages is mentioned.
QA4IE: A Question Answering based Framework for Information Extraction,What QA models were used?,Scoremul and Scoreavg.
Queens are Powerful too: Mitigating Gender Bias in Dialogue Generation,What baseline is used to compare the experimental results against?,HELP
Microsoft Research Asia's Systems for WMT19,What is their best performance on the largest language direction dataset?,Their best performance on the largest language direction dataset is 98.6%
Few-shot Natural Language Generation for Task-Oriented Dialog,What was the criteria for human evaluation?,"RE Match, Fluency, Sentiment"
Finding Street Gang Members on Twitter,Do they evaluate only on English datasets?,No.
A Unified System for Aggression Identification in English Code-Mixed and Uni-Lingual Texts,What is English mixed with in the TRAC dataset?,German station and street names.
An Emotional Analysis of False Information in Social Media and News Articles,What is the baseline?,"There is no mention of a ""baseline"" in the provided context."
STransE: a novel embedding model of entities and relationships in knowledge bases,What scoring function does the model use to score triples?,"fr(h,t) = ∥Wr,1h + r −Wr,2t∥ℓ1/2"
Identifying Clickbait: A Multi-Strategy Approach Using Neural Networks,What are the differences with previous applications of neural networks for this task?,Simple models can outperform or closely match performance of complex architectures; all the models considered are task-independent and were successfully used in different contexts than Hypothesis Evaluation.
